,Portfolio,Weights,Sharpe Ratio,Portfolio Return,Portfolio Volatility,PortfolioL
0,"['SK텔레콤', '삼성화재', '카카오뱅크', 'KT&G', '삼성생명', 'LG전자', 'LG화학']","[0.05248869 0.16832579 0.05972851 0.31131222 0.04977376 0.31221719
 0.04615385]",2.1429729654875835,-2410.73,0.007770175658893035,"SK텔레콤,삼성화재,카카오뱅크,KT&G,삼성생명,LG전자,LG화학"
1,"['SK텔레콤', '삼성화재', '카카오뱅크', 'KT&G', '삼성생명', 'LG화학']",[0.1357268  0.10945709 0.20052539 0.42206655 0.07180385 0.06042032],2.315542872349376,-3141.73,0.010717155463199027,"SK텔레콤,삼성화재,카카오뱅크,KT&G,삼성생명,LG화학"
2,"['삼성화재', '카카오뱅크', 'KT&G', '삼성생명', '현대모비스', 'LG화학']",[0.20943396 0.12075472 0.36226415 0.1245283  0.05       0.13301887],2.057132611664534,-3510.19,0.009207974068825722,"삼성화재,카카오뱅크,KT&G,삼성생명,현대모비스,LG화학"
3,"['삼성화재', 'KT&G', 'SK', '삼성생명', '신한지주', 'LG전자']",[0.06934307 0.44708029 0.18521898 0.0830292  0.15145985 0.06386861],2.6320589058506654,-385.53,0.013619400239105026,"삼성화재,KT&G,SK,삼성생명,신한지주,LG전자"
4,"['삼성생명', '삼성화재', 'KT&G', '현대모비스']",[0.05924413 0.29826353 0.46475996 0.17773238],2.8548951372238767,2401.29,0.009576078592897672,"삼성생명,삼성화재,KT&G,현대모비스"
5,"['삼성화재', 'KT&G', '삼성생명', '현대모비스', '기아']",[0.23541667 0.4375     0.075      0.14479167 0.10729167],2.9559755459863846,1621.97,0.00889530623194337,"삼성화재,KT&G,삼성생명,현대모비스,기아"
6,"['카카오뱅크', 'KT&G', 'SK', '삼성생명', 'LG', 'LG전자']",[0.04916733 0.36796193 0.11974623 0.11578113 0.30293418 0.0444092 ],2.2887537792240145,2988.09,0.008449101522209094,"카카오뱅크,KT&G,SK,삼성생명,LG,LG전자"
7,"['삼성화재', '카카오뱅크', 'KT&G', '삼성생명', '현대모비스', '셀트리온']",[0.12746858 0.17055655 0.42728905 0.11041293 0.07271095 0.09156194],2.1442195965896573,1040.36,0.011094724625893271,"삼성화재,카카오뱅크,KT&G,삼성생명,현대모비스,셀트리온"
8,"['KT&G', 'SK', '삼성생명', 'LG', 'KB금융', '삼성물산']",[0.3237774  0.36762226 0.04721754 0.04721754 0.15092749 0.06323777],2.639068786148566,-2040.58,0.007200235452627374,"KT&G,SK,삼성생명,LG,KB금융,삼성물산"
9,"['삼성화재', '카카오뱅크', 'KT&G', '삼성생명', '신한지주', 'LG전자']",[0.39875112 0.13202498 0.25958965 0.05173952 0.04727921 0.11061552],2.3973305979511563,1149.01,0.006350652540655384,"삼성화재,카카오뱅크,KT&G,삼성생명,신한지주,LG전자"
10,"['KT&G', '삼성생명', 'LG', 'KB금융', '삼성물산']",[0.48929336 0.20556745 0.13169165 0.07601713 0.09743041],2.533910746619342,3687.17,0.010876606454665155,"KT&G,삼성생명,LG,KB금융,삼성물산"
11,"['삼성화재', '카카오뱅크', 'KT&G', '삼성생명', '현대모비스', '기아']",[0.184514   0.13591433 0.37397035 0.14250412 0.08072488 0.08237232],2.4851475005499863,902.7,0.008262974503684848,"삼성화재,카카오뱅크,KT&G,삼성생명,현대모비스,기아"
12,"['삼성생명', 'KT&G', 'SK', '삼성SDI']",[0.09288991 0.55963303 0.22362385 0.12385321],2.7955051561403637,-956.6,0.011768898810977675,"삼성생명,KT&G,SK,삼성SDI"
13,"['KT&G', 'SK', '하이브', '삼성생명', 'LG', '신한지주', '삼성물산']","[0.27366505 0.22754854 0.04308252 0.05097087 0.16262136 0.08616505
 0.1559466 ]",2.356675797309577,605.56,0.008395119729312046,"KT&G,SK,하이브,삼성생명,LG,신한지주,삼성물산"
14,"['KT&G', 'SK', '삼성생명', '신한지주', 'LG전자', '삼성물산']",[0.33278146 0.37168874 0.05546358 0.06043046 0.04304636 0.1365894 ],2.837187913006764,-1088.8,0.00834330998045277,"KT&G,SK,삼성생명,신한지주,LG전자,삼성물산"
15,"['SK텔레콤', '삼성화재', 'KT&G', '삼성생명', 'KB금융', '현대모비스']",[0.06647605 0.18656183 0.31808435 0.09363831 0.23874196 0.0964975 ],2.3238586427745567,-456.37,0.007446858519602855,"SK텔레콤,삼성화재,KT&G,삼성생명,KB금융,현대모비스"
16,"['KT&G', 'SK', '삼성생명', 'LG', '신한지주', '삼성물산']",[0.34485467 0.22309505 0.04006284 0.16496465 0.04163394 0.18538885],2.745452326622889,3293.09,0.008098538767124972,"KT&G,SK,삼성생명,LG,신한지주,삼성물산"
